time,temperature
1765057063.817235,110.1875
1765057065.818879,110.2578125
1765057067.8194377,110.2578125
1765057069.8199277,110.328125
1765057071.8205333,110.328125
1765057073.821298,110.2578125
1765057075.822525,110.2578125
1765057077.8237393,110.1875
1765057079.824255,110.046875
1765057081.8247225,110.046875
1765057083.8251865,110.046875
1765057085.825684,109.9203125
1765057087.826132,109.9203125
1765057089.8265915,109.9203125
1765057091.8270903,109.9203125
1765057093.8276687,109.85
1765057095.8282356,109.7796875
1765057097.8286757,109.709375
1765057099.8291228,109.709375
1765057101.8295925,109.7796875
1765057103.8302124,109.7796875
1765057105.8314164,109.709375
1765057107.8326507,109.7796875
1765057109.8338785,109.6390625
1765057111.834456,109.6390625
1765057113.8348927,109.6390625
1765057115.835313,109.6390625
1765057117.8357723,109.6390625
1765057119.8362668,109.4984375
1765057121.8367105,109.4984375
1765057123.8371742,109.4984375
1765057125.8380513,109.4984375
1765057127.8384953,109.4984375
1765057129.8389487,109.4984375
1765057131.8394003,109.4984375
1765057133.8402011,109.428125
1765057135.8406374,109.3578125
1765057137.8411212,109.3578125
1765057139.842362,109.3578125
1765057141.8428261,109.3578125
1765057143.844409,109.3578125
1765057145.8454826,109.23125
1765057147.8460433,109.23125
1765057149.8464615,109.3578125
1765057151.846971,109.3578125
1765057153.848213,109.3578125
1765057155.8493762,109.4984375
1765057157.849821,109.3578125
1765057159.8502584,109.428125
1765057161.8507078,109.56875
1765057163.8516366,109.56875
1765057165.852087,109.6390625
1765057167.8532927,109.709375
1765057169.8537576,109.709375
1765057171.8543818,109.7796875
1765057173.8548317,109.85
1765057175.8553083,109.9203125
1765057177.8557804,110.046875
1765057179.8562431,110.1875
1765057181.8566585,110.2578125
1765057183.8570457,110.46875
1765057185.8580852,110.5390625
1765057187.858569,110.6796875
1765057189.858981,110.81328125
1765057191.8594258,111.0171875
1765057193.8598485,111.1578125
1765057195.8602371,111.4953125
1765057197.8606453,111.6359375
1765057199.861026,111.91015625
1765057201.8614285,112.1140625
1765057203.8621035,112.3953125
1765057205.8627615,112.521875
1765057207.8642728,112.94375
1765057209.8648438,113.2109375
1765057211.8652425,113.759375
1765057213.8656273,114.2375
1765057215.866059,114.4484375
1765057217.8664403,115.20078125
1765057219.8669207,115.4046875
1765057221.867351,115.87578125
1765057223.8677511,116.5578125
1765057225.8681383,116.8390625
1765057227.8685198,117.6546875
1765057229.8689072,117.9921875
1765057231.8692877,118.7375
1765057233.8718631,119.1453125
1765057235.8735693,119.890625
1765057237.8740969,120.4390625
1765057239.8745086,121.31796875
1765057241.8757653,121.99296875
1765057243.8761652,122.93515625
